,Year,enName,speciesAcronym,FishStock,StockKey,SpeciesName,ICES Areas (splited with character '~'),StockSize,StockSizeDescription,StockSizeUnits,FishingPressure,FishingPressureDescription,FishingPressureUnits,Flim,Fpa,Blim,Bpa,FMSY,MSYBtrigger,CatchesLadingsUnits,Landings,OfficialLandings,Catches,Report,AssessmentKey,AssessmentYear,fullArea,area,Area,Species,Belgium,China,Denmark,Estonia,Faroe Islands,Finland,France,Germany,Greenland,Guernsey,Iceland,Ireland,Isle of Man,Japan,Jersey,"Korea, Republic of",Latvia,Lithuania,Netherlands,Norway,Poland,Portugal,Russian Federation,Spain,Sweden,"Taiwan, Province of China",United Kingdom of GB,_mergeCatch,sumOffCatches,diffCatches
0,2012,Sandeel,san,san.sa.1r,169246,Ammodytes,27.4.b ~ 27.4.c,152970,SSB,tonnes,0.112,F,Year-1,,,110000,145000,,,tonnes,,,45954.0,https://doi.org/10.17895/ices.advice.10000,16936,2022,0,27.4.b,27.4.b,san,,,50064.15,,0.0,,0.0,1708.44,,,,,,,,,,0.0,317.0,42144.09,,,,,5652.0,,0.0,both,99885.68,1.1736014275144708
1,2012,Sandeel,san,san.sa.2r,169247,Ammodytes,27.4.b ~ 27.4.c,42319,SSB,tonnes,0.153,F,ratio,,,56000,84000,,,tonnes,,,12672.0,https://doi.org/10.17895/ices.advice.10001,16937,2022,0,27.4.b,27.4.b,san,,,50064.15,,0.0,,0.0,1708.44,,,,,,,,,,0.0,317.0,42144.09,,,,,5652.0,,0.0,both,99885.68,6.882392676767676
2,2012,Sandeel,san,san.sa.4,169249,Ammodytes,27.4.a ~ 27.4.b,101114,SSB,tonnes,0.022,F,Year-1,,,48000,102000,,,tonnes,,,2618.0,https://doi.org/10.17895/ices.advice.10003,16940,2022,1,27.4.b,27.4.b,san,,,50064.15,,0.0,,0.0,1708.44,,,,,,,,,,0.0,317.0,42144.09,,,,,5652.0,,0.0,both,99885.68,37.15343009931245
3,2012,Sandeel,san,san.sa.3r,169248,Ammodytes,27.3.a ~ 27.4.a ~ 27.4.b,167376,SSB,tonnes,0.103,F,ratio,,,80000,129000,,,tonnes,,,40141.0,https://doi.org/10.17895/ices.advice.10002,16941,2022,2,27.4.b,27.4.b,san,,,50064.15,,0.0,,0.0,1708.44,,,,,,,,,,0.0,317.0,42144.09,,,,,5652.0,,0.0,both,99885.68,1.4883704940086195
4,2016,Sandeel,san,san.sa.1r,169246,Ammodytes,27.4.b ~ 27.4.c,231422,SSB,tonnes,0.028,F,Year-1,,,110000,145000,,,tonnes,,,15407.0,https://doi.org/10.17895/ices.advice.10000,16936,2022,0,27.4.b,27.4.b,san,,,27235.18,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,27353.58,,,,,4259.5,,0.0,both,58848.26,2.819579411955605
5,2016,Sandeel,san,san.sa.2r,169247,Ammodytes,27.4.b ~ 27.4.c,26796,SSB,tonnes,0.188,F,ratio,,,56000,84000,,,tonnes,,,9569.0,https://doi.org/10.17895/ices.advice.10001,16937,2022,0,27.4.b,27.4.b,san,,,27235.18,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,27353.58,,,,,4259.5,,0.0,both,58848.26,5.1498860905005746
6,2016,Sandeel,san,san.sa.4,169249,Ammodytes,27.4.a ~ 27.4.b,193881,SSB,tonnes,0.025,F,Year-1,,,48000,102000,,,tonnes,,,6232.0,https://doi.org/10.17895/ices.advice.10003,16940,2022,1,27.4.b,27.4.b,san,,,27235.18,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,27353.58,,,,,4259.5,,0.0,both,58848.26,8.442917201540437
7,2016,Sandeel,san,san.sa.3r,169248,Ammodytes,27.3.a ~ 27.4.a ~ 27.4.b,260146,SSB,tonnes,0.103,F,ratio,,,80000,129000,,,tonnes,,,44074.0,https://doi.org/10.17895/ices.advice.10002,16941,2022,2,27.4.b,27.4.b,san,,,27235.18,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,27353.58,,,,,4259.5,,0.0,both,58848.26,0.3352148659073377
8,2020,Sandeel,san,san.sa.1r,169246,Ammodytes,27.4.b ~ 27.4.c,60901,SSB,tonnes,0.515,F,Year-1,,,110000,145000,,,tonnes,,,108944.0,https://doi.org/10.17895/ices.advice.10000,16936,2022,0,27.4.b,27.4.b,san,,,162460.0,,0.0,,0.0,3815.218,,,,,,,,,,0.0,0.0,201188.17,,,,,25505.0887,,3895.9461,both,396864.42280000006,2.6428295527977683
9,2020,Sandeel,san,san.sa.2r,169247,Ammodytes,27.4.b ~ 27.4.c,37235,SSB,tonnes,0.595,F,ratio,,,56000,84000,,,tonnes,,,70198.0,https://doi.org/10.17895/ices.advice.10001,16937,2022,0,27.4.b,27.4.b,san,,,162460.0,,0.0,,0.0,3815.218,,,,,,,,,,0.0,0.0,201188.17,,,,,25505.0887,,3895.9461,both,396864.42280000006,4.65350042451352
10,2020,Sandeel,san,san.sa.4,169249,Ammodytes,27.4.a ~ 27.4.b,50312,SSB,tonnes,0.054,F,Year-1,,,48000,102000,,,tonnes,,,20116.0,https://doi.org/10.17895/ices.advice.10003,16940,2022,1,27.4.b,27.4.b,san,,,162460.0,,0.0,,0.0,3815.218,,,,,,,,,,0.0,0.0,201188.17,,,,,25505.0887,,3895.9461,both,396864.42280000006,18.72879413402267
11,2020,Sandeel,san,san.sa.3r,169248,Ammodytes,27.3.a ~ 27.4.a ~ 27.4.b,284077,SSB,tonnes,0.621,F,ratio,,,80000,129000,,,tonnes,,,247411.0,https://doi.org/10.17895/ices.advice.10002,16941,2022,2,27.4.b,27.4.b,san,,,162460.0,,0.0,,0.0,3815.218,,,,,,,,,,0.0,0.0,201188.17,,,,,25505.0887,,3895.9461,both,396864.42280000006,0.6040694342612093
12,2012,Sandeel,san,san.sa.4,169249,Ammodytes,27.4.a ~ 27.4.b,101114,SSB,tonnes,0.022,F,Year-1,,,48000,102000,,,tonnes,,,2618.0,https://doi.org/10.17895/ices.advice.10003,16940,2022,0,27.4.a,27.4.a,san,,,0.0,,,,,,,,,,,,,,,,,336.32,,,,,0.0,,0.0,both,336.32,-0.8715355233002291
13,2012,Sandeel,san,san.sa.3r,169248,Ammodytes,27.3.a ~ 27.4.a ~ 27.4.b,167376,SSB,tonnes,0.103,F,ratio,,,80000,129000,,,tonnes,,,40141.0,https://doi.org/10.17895/ices.advice.10002,16941,2022,1,27.4.a,27.4.a,san,,,0.0,,,,,,,,,,,,,,,,,336.32,,,,,0.0,,0.0,both,336.32,-0.9916215340923246
14,2016,Sandeel,san,san.sa.4,169249,Ammodytes,27.4.a ~ 27.4.b,193881,SSB,tonnes,0.025,F,Year-1,,,48000,102000,,,tonnes,,,6232.0,https://doi.org/10.17895/ices.advice.10003,16940,2022,0,27.4.a,27.4.a,san,,,530.59,,,,,,,,,,,,,,,,,13513.78,,,,,0.0,,0.0,both,14044.37,1.2535895378690631
15,2016,Sandeel,san,san.sa.3r,169248,Ammodytes,27.3.a ~ 27.4.a ~ 27.4.b,260146,SSB,tonnes,0.103,F,ratio,,,80000,129000,,,tonnes,,,44074.0,https://doi.org/10.17895/ices.advice.10002,16941,2022,1,27.4.a,27.4.a,san,,,530.59,,,,,,,,,,,,,,,,,13513.78,,,,,0.0,,0.0,both,14044.37,-0.6813456913372963
16,2020,Sandeel,san,san.sa.4,169249,Ammodytes,27.4.a ~ 27.4.b,50312,SSB,tonnes,0.054,F,Year-1,,,48000,102000,,,tonnes,,,20116.0,https://doi.org/10.17895/ices.advice.10003,16940,2022,0,27.4.a,27.4.a,san,,,0.0,,,,,,,,,,,,,,,,,43190.96,,,,,0.0,,0.0,both,43190.96,1.1470948498707496
17,2020,Sandeel,san,san.sa.3r,169248,Ammodytes,27.3.a ~ 27.4.a ~ 27.4.b,284077,SSB,tonnes,0.621,F,ratio,,,80000,129000,,,tonnes,,,247411.0,https://doi.org/10.17895/ices.advice.10002,16941,2022,1,27.4.a,27.4.a,san,,,0.0,,,,,,,,,,,,,,,,,43190.96,,,,,0.0,,0.0,both,43190.96,-0.8254282954274467
18,2012,Haddock,had,had.27.5a,169112,Melanogrammus aeglefinus,27.5.a.1 ~ 27.5.a.2,76375,SSB/B45cm,tonnes,0.3964,F/Harvest rate,,,,35500,49400,,,,46032,,46032.0,https://doi.org/10.17895/ices.advice.19447949.v1,16965,2022,0,27.5.a.1,27.5.a.1,had,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,both,1.0,-0.9999782759819256
19,2016,Haddock,had,had.27.5a,169112,Melanogrammus aeglefinus,27.5.a.1 ~ 27.5.a.2,72500,SSB/B45cm,tonnes,0.3366,F/Harvest rate,,,,35500,49400,,,,38090,,38090.0,https://doi.org/10.17895/ices.advice.19447949.v1,16965,2022,0,27.5.a.1,27.5.a.1,had,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,both,0.0,-1.0
20,2020,Haddock,had,had.27.5a,169112,Melanogrammus aeglefinus,27.5.a.1 ~ 27.5.a.2,86713,SSB/B45cm,tonnes,0.416,F/Harvest rate,,,,35500,49400,,,,54459,,54459.0,https://doi.org/10.17895/ices.advice.19447949.v1,16965,2022,0,27.5.a.1,27.5.a.1,had,,,,,,,,,,,53541.0,,,,,,,,,,,,,,,,,both,53541.0,-0.01685671789786812
21,2012,Herring,her,her.27.28,169124,Clupea harengus,27.3.d.28.1,99487,SSB,tonnes,0.27,F,,0.88,0.38,40800,57100,0.32,60000,tonnes,28115,,,https://doi.org/10.17895/ices.advice.19447976.v1,16967,2022,0,27.3.d.28.1,27.3.d.28.1,her,,,0.0,13788.56,,,,0.0,,,,,,,,,17963.5,,,,,,,,,,,both,31752.059999999998,
22,2016,Herring,her,her.27.28,169124,Clupea harengus,27.3.d.28.1,121596,SSB,tonnes,0.2696,F,,0.88,0.38,40800,57100,0.32,60000,tonnes,30865,,,https://doi.org/10.17895/ices.advice.19447976.v1,16967,2022,0,27.3.d.28.1,27.3.d.28.1,her,,,0.0,15814.21,,,,0.0,,,,,,,,,19072.03,,,,,,,,,,,both,34886.24,
23,2020,Herring,her,her.27.28,169124,Clupea harengus,27.3.d.28.1,153857,SSB,tonnes,0.2224,F,,0.88,0.38,40800,57100,0.32,60000,tonnes,33215,,,https://doi.org/10.17895/ices.advice.19447976.v1,16967,2022,0,27.3.d.28.1,27.3.d.28.1,her,,,21.0,12230.565,,,,0.0,,,,,,,,,21018.51,,,,,,,,,,,both,33270.075,
24,2012,Sole,sol,sol.27.20-24,169277,Solea solea,27.3.a.20 ~ 27.3.a.21 ~ 27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24,2245,SSB,tonnes,0.182,F,,0.315,0.26,1850,2600,0.26,2600,tonnes,358,,,https://doi.org/10.17895/ices.advice.19453811.v2,16970,2022,0,27.3.a.20,27.3.a.20,sol,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,0.0,both,0.0,
25,2016,Sole,sol,sol.27.20-24,169277,Solea solea,27.3.a.20 ~ 27.3.a.21 ~ 27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24,2210,SSB,tonnes,0.18,F,,0.315,0.26,1850,2600,0.26,2600,tonnes,348,,,https://doi.org/10.17895/ices.advice.19453811.v2,16970,2022,0,27.3.a.20,27.3.a.20,sol,,,76.81,,,,,0.0,,,,,,,,,,,,2.34,,,,,1.04,,0.76,both,80.95000000000002,
26,2020,Sole,sol,sol.27.20-24,169277,Solea solea,27.3.a.20 ~ 27.3.a.21 ~ 27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24,2536,SSB,tonnes,0.206,F,,0.315,0.26,1850,2600,0.26,2600,tonnes,424,,,https://doi.org/10.17895/ices.advice.19453811.v2,16970,2022,0,27.3.a.20,27.3.a.20,sol,,,105.0,,,,,17.2557,,,,,,,,,,,,0.0,,,,,0.7969,,0.0,both,123.0526,
27,2012,Sprat,spr,spr.27.22-32,169279,Sprattus sprattus,27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24 ~ 27.3.d.25 ~ 27.3.d.26 ~ 27.3.d.27 ~ 27.3.d.28.1 ~ 27.3.d.28.2 ~ 27.3.d.29 ~ 27.3.d.30 ~ 27.3.d.31 ~ 27.3.d.32,700000,SSB,tonnes,0.3424,F,,0.63,0.41,410000,570000,0.31,570000,tonnes,231000,,231000.0,https://doi.org/10.17895/ices.advice.19453856.v1,16975,2022,0,27.3.b.23,27.3.b.23,spr,,,28.7,,,,,,,,,,,,,,,,,,,,,,0.0,,,both,28.7,-0.9998757575757575
